,train,test,column,skipped,model,acc1,acc2,acc3,mean_acc,accuracy
253,electronics,lego,pos,onlyADV,cnn,"0,818","0,818","0,817","0,8176666667",0.8176666667
254,electronics,toys,pos,onlyADV,cnn,"0,673","0,674","0,673","0,6733333333",0.6733333333
255,electronics,electronics,pos,onlyADV,cnn,"0,672","0,672","0,672","0,672",0.672
256,electronics,home,combined,ADV,cnn,"0,898","0,89","0,906","0,898",0.898
257,electronics,lego,combined,ADV,cnn,"0,916","0,915","0,923","0,918",0.918
258,electronics,toys,combined,ADV,cnn,"0,912","0,905","0,914","0,9103333333",0.9103333333
259,electronics,electronics,combined,ADV,cnn,"0,921","0,923","0,94","0,928",0.928
260,electronics,home,combined,onlyADV,cnn,"0,724","0,717","0,714","0,7183333333",0.7183333333
261,electronics,lego,combined,onlyADV,cnn,"0,724","0,732","0,77","0,742",0.742
262,electronics,toys,combined,onlyADV,cnn,"0,734","0,734","0,75","0,7393333333",0.7393333333
263,electronics,electronics,combined,onlyADV,cnn,"0,752","0,753","0,757","0,754",0.754
264,electronics,home,raw,ADV,cbow,"0,864","0,861","0,857","0,8606666667",0.8606666667
265,electronics,lego,raw,ADV,cbow,"0,854","0,903","0,905","0,8873333333",0.8873333333
266,electronics,toys,raw,ADV,cbow,"0,87","0,881","0,88","0,877",0.877
267,electronics,electronics,raw,ADV,cbow,"0,892","0,891","0,895","0,8926666667",0.8926666667
268,electronics,home,raw,onlyADV,cbow,"0,624","0,683","0,62","0,6423333333",0.6423333333
269,electronics,lego,raw,onlyADV,cbow,"0,819","0,826","0,822","0,8223333333",0.8223333333
270,electronics,toys,raw,onlyADV,cbow,"0,691","0,747","0,693","0,7103333333",0.7103333333
271,electronics,electronics,raw,onlyADV,cbow,"0,694","0,742","0,689","0,7083333333",0.7083333333
272,electronics,home,pos,ADV,cbow,"0,642","0,648","0,652","0,6473333333",0.6473333333
273,electronics,lego,pos,ADV,cbow,"0,797","0,812","0,805","0,8046666667",0.8046666667
274,electronics,toys,pos,ADV,cbow,"0,703","0,707","0,698","0,7026666667",0.7026666667
275,electronics,electronics,pos,ADV,cbow,"0,72","0,719","0,715","0,718",0.718
276,electronics,home,pos,onlyADV,cbow,"0,602","0,602","0,602","0,602",0.602
277,electronics,lego,pos,onlyADV,cbow,"0,818","0,817","0,818","0,8176666667",0.8176666667
278,electronics,toys,pos,onlyADV,cbow,"0,674","0,673","0,673","0,6733333333",0.6733333333
279,electronics,electronics,pos,onlyADV,cbow,"0,672","0,672","0,672","0,672",0.672
280,electronics,home,combined,ADV,cbow,"0,85","0,866","0,866","0,8606666667",0.8606666667
281,electronics,lego,combined,ADV,cbow,"0,92","0,914","0,899","0,911",0.911
282,electronics,toys,combined,ADV,cbow,"0,87","0,88","0,878","0,876",0.876
283,electronics,electronics,combined,ADV,cbow,"0,89","0,899","0,901","0,8966666667",0.8966666667
284,electronics,home,combined,onlyADV,cbow,"0,649","0,701","0,713","0,6876666667",0.6876666667
285,electronics,lego,combined,onlyADV,cbow,"0,83","0,816","0,742","0,796",0.796
286,electronics,toys,combined,onlyADV,cbow,"0,713","0,754","0,723","0,73",0.73
287,electronics,electronics,combined,onlyADV,cbow,"0,706","0,756","0,745","0,7356666667",0.7356666667
288,electronics,home,raw,ADV,cnn_gru,"0,921","0,913","0,913","0,9156666667",0.9156666667
289,electronics,lego,raw,ADV,cnn_gru,"0,925","0,929","0,914","0,9226666667",0.9226666667
290,electronics,toys,raw,ADV,cnn_gru,"0,922","0,921","0,921","0,9213333333",0.9213333333
291,electronics,electronics,raw,ADV,cnn_gru,"0,939","0,934","0,928","0,9336666667",0.9336666667
292,electronics,home,raw,onlyADV,cnn_gru,"0,721","0,602","0,602","0,6416666667",0.6416666667
293,electronics,lego,raw,onlyADV,cnn_gru,"0,757","0,817","0,817","0,797",0.797
294,electronics,toys,raw,onlyADV,cnn_gru,"0,747","0,673","0,673","0,6976666667",0.6976666667
295,electronics,electronics,raw,onlyADV,cnn_gru,"0,763","0,672","0,672","0,7023333333",0.7023333333
296,electronics,home,pos,ADV,cnn_gru,"0,727","0,734","0,731","0,7306666667",0.7306666667
297,electronics,lego,pos,ADV,cnn_gru,"0,799","0,807","0,813","0,8063333333",0.8063333333
298,electronics,toys,pos,ADV,cnn_gru,"0,75","0,759","0,766","0,7583333333",0.7583333333
299,electronics,electronics,pos,ADV,cnn_gru,"0,782","0,787","0,792","0,787",0.787
300,electronics,home,pos,onlyADV,cnn_gru,"0,602","0,602","0,602","0,602",0.602
301,electronics,lego,pos,onlyADV,cnn_gru,"0,818","0,817","0,817","0,8173333333",0.8173333333
302,electronics,toys,pos,onlyADV,cnn_gru,"0,674","0,673","0,673","0,6733333333",0.6733333333
303,electronics,electronics,pos,onlyADV,cnn_gru,"0,672","0,672","0,672","0,672",0.672
304,electronics,home,combined,ADV,cnn_gru,"0,911","0,916","0,918","0,915",0.915
305,electronics,lego,combined,ADV,cnn_gru,"0,907","0,932","0,925","0,9213333333",0.9213333333
306,electronics,toys,combined,ADV,cnn_gru,"0,917","0,918","0,922","0,919",0.919
307,electronics,electronics,combined,ADV,cnn_gru,"0,936","0,932","0,931","0,933",0.933
308,electronics,home,combined,onlyADV,cnn_gru,"0,727","0,602","0,602","0,6436666667",0.6436666667
309,electronics,lego,combined,onlyADV,cnn_gru,"0,75","0,817","0,817","0,7946666667",0.7946666667
310,electronics,toys,combined,onlyADV,cnn_gru,"0,746","0,673","0,674","0,6976666667",0.6976666667
311,electronics,electronics,combined,onlyADV,cnn_gru,"0,761","0,681","0,672","0,7046666667",0.7046666667
312,electronics,home,raw,ADV,lstm,"0,907","0,888","0,882","0,8923333333",0.8923333333
313,electronics,lego,raw,ADV,lstm,"0,902","0,886","0,918","0,902",0.902
314,electronics,toys,raw,ADV,lstm,"0,91","0,897","0,887","0,898",0.898
315,electronics,electronics,raw,ADV,lstm,"0,927","0,919","0,914","0,92",0.92
316,electronics,home,raw,onlyADV,lstm,"0,602","0,602","0,602","0,602",0.602
317,electronics,lego,raw,onlyADV,lstm,"0,817","0,817","0,817","0,817",0.817
318,electronics,toys,raw,onlyADV,lstm,"0,674","0,673","0,673","0,6733333333",0.6733333333
319,electronics,electronics,raw,onlyADV,lstm,"0,672","0,672","0,672","0,672",0.672
320,electronics,home,pos,ADV,lstm,"0,719","0,705","0,709","0,711",0.711
321,electronics,lego,pos,ADV,lstm,"0,785","0,827","0,802","0,8046666667",0.8046666667
322,electronics,toys,pos,ADV,lstm,"0,744","0,742","0,722","0,736",0.736
323,electronics,electronics,pos,ADV,lstm,"0,774","0,772","0,766","0,7706666667",0.7706666667
324,electronics,home,pos,onlyADV,lstm,"0,602","0,602","0,602","0,602",0.602
